Player,Team,Pos,Defensive Impact Score
Victor Wembanyama,SAS,C,100
Andre Drummond,CHI,C,88.21458784766459
Rudy Gobert,MIN,C,83.16519022669263
Nikola Jokić,DEN,C,82.87851464180224
Jusuf Nurkić,PHO,C,82.46773303
Giannis Antetokounmpo,MIL,PF,69.68387345284606
Evan Mobley,CLE,PF,67.44963601521836
Daniel Gafford,2TM,PF,65.20637886919508
Draymond Green,GSW,PF,59.74356424095488
Karl-Anthony Towns,MIN,PF,52.54445211782481
Luka Dončić,DAL,PG,58.967761192039845
Shai Gilgeous-Alexander,OKC,PG,44.44308437662789
Russell Westbrook,LAC,PG,39.32285466715108
Dyson Daniels,NOP,PG,38.33562469225059
Cole Anthony,ORL,PG,36.86380622988508
Jalen Johnson,ATL,SF,55.53979744535998
Josh Hart,NYK,SF,52.76239129252147
Amen Thompson,HOU,SF,52.54297828792496
Jabari Walker,POR,SF,48.22081736831728
Ausar Thompson,DET,SF,46.30056375189596
Josh Giddey,OKC,SG,48.12861451445225
Scottie Barnes,TOR,SG,46.15388792449192
Vince Williams Jr.,MEM,SG,40.89335643
Alex Caruso,CHI,SG,36.98203594611287
Anthony Edwards,MIN,SG,36.68239797945952